,,Global Time,Time,Cell1 Cathode vConcentration,Cell1 Anode vConcentration,Cell1 Anode vSEI Length,Cell1 Voltage,Current
C2,55,11168.966272570708,4000.0000000000005,34877.6738236678,12724.96836289725,5.205424410120937e-09,4.079165851142229,13.6319183090575
C2,56,11241.693545297981,4072.727272727273,34668.82627951099,12951.505952295902,5.211490827572892e-09,4.083061495583796,13.6319183090575
C2,57,11314.420818025254,4145.454545454546,34459.97873535461,13178.04198635575,5.217606434436953e-09,4.087034669764409,13.6319183090575
C2,58,11387.148090752526,4218.181818181819,34251.131191198016,13404.576367354808,5.2237743294328516e-09,4.091086359508325,13.6319183090575
C2,59,11459.875363479798,4290.909090909091,34042.283647041375,13631.108993262258,5.229997749702194e-09,4.095217479886231,13.6319183090575
C2,60,11532.602636207072,4363.636363636364,33833.43610288477,13857.639757842295,5.236280067242667e-09,4.099428893432364,13.6319183090575
C2,61,11542.187106008645,4373.2208334379375,33805.91282440839,13887.493293160522,5.237112808542394e-09,4.099989999999999,13.6319183090575
C2,0,11542.187106008645,0.0,33805.91282440839,13887.493293160522,5.237112808542394e-09,4.101,13.78813537922094
C2,1,11614.914378735917,72.72727272727273,33534.95915683655,14145.57847638954,5.2433404731642934e-09,4.100999999999999,13.025187621718677
C2,2,11687.641651463191,145.45454545454547,33341.36206866272,14356.04070187713,5.2493721160106034e-09,4.101,12.496439072019486
C2,3,11760.368924190463,218.1818181818182,33156.57841966185,14557.858273271977,5.255227394486294e-09,4.101,12.001495533799048
C2,4,11833.096196917735,290.90909090909093,32979.02447920542,14751.761557125632,5.260921121167155e-09,4.101,11.535229573303615
C2,5,11905.823469645009,363.6363636363637,32808.27963997384,14938.201988369152,5.2664624679266136e-09,4.101,11.095529609313608
C2,6,11978.550742372281,436.3636363636364,32643.962808763015,15117.59818248949,5.271859889962734e-09,4.101,10.680472112639457
C2,7,12051.278015099555,509.0909090909091,32485.714653488012,15290.345099879569,5.277121331160336e-09,4.100999999999999,10.288272770304543
C2,8,12124.005287826827,581.8181818181819,32332.89666857987,15457.142506637518,5.28226093901086e-09,4.100999999999999,9.916556462363824
C2,9,12196.7325605541,654.5454545454546,32185.595221139523,15617.897694087664,5.287276681114425e-09,4.101,9.564791989064974
C2,10,12269.459833281373,727.2727272727274,32043.44666462496,15773.010023911873,5.292176556878166e-09,4.101000000000001,9.231405499066833
C2,11,12342.187106008645,800.0000000000001,31906.105130930016,15922.858887516812,5.296968165188516e-09,4.101,8.914941873766416
C2,12,12414.914378735917,872.7272727272727,31773.40550159501,16067.626171663955,5.30165506597053e-09,4.101,8.61442532471318
C2,13,12487.641651463191,945.4545454545455,31645.117362902896,16207.56497180376,5.3062422820347596e-09,4.101,8.328779108093686
C2,14,12560.368924190463,1018.1818181818182,31521.025507212602,16342.911612314043,5.310734501036751e-09,4.101000000000001,8.057010539554502
C2,15,12633.096196917737,1090.909090909091,31400.929229951827,16473.88645723361,5.315136093584496e-09,4.101,7.7982080080840435
C2,16,12705.823469645009,1163.6363636363637,31284.64076948983,16600.695624939595,5.319451148738918e-09,4.101,7.551528992127202
C2,17,12778.550742372281,1236.3636363636365,31171.984424524468,16723.531961619523,5.32368349435304e-09,4.101000000000001,7.316196887061865
C2,18,12851.278015099555,1309.0909090909092,31062.795624810653,16842.57606558243,5.327836718140797e-09,4.101000000000001,7.091494843697833
C2,19,12924.005287826827,1381.818181818182,30956.920080480566,16957.997224776598,5.33191418676109e-09,4.101000000000001,6.876760681998818
C2,20,12996.7325605541,1454.5454545454547,30854.21301186492,17069.954265659915,5.335919062950326e-09,4.101,6.671382268201775
C2,21,13069.459833281373,1527.2727272727275,30754.53899073395,17178.595731966157,5.339854309142392e-09,4.101000000000001,6.474794370534146
C2,22,13142.187106008645,1600.0000000000002,30657.76996477268,17284.06205412694,5.343722730676414e-09,4.101,6.286472176622304
C2,23,13214.914378735917,1672.727272727273,30563.785592265413,17386.485182658005,5.347526968338623e-09,4.100999999999999,6.105929667333996
C2,24,13287.641651463191,1745.4545454545455,30472.47252118326,17485.989384118086,5.3512695140866345e-09,4.101,5.932716074527506
C2,25,13360.368924190463,1818.1818181818182,30383.723886064057,17582.69179477575,5.35495272186405e-09,4.100999999999999,5.766412972903769
C2,26,13433.096196917737,1890.909090909091,30297.438846912457,17676.702928502902,5.358578817484049e-09,4.101000000000001,5.606631633098331
C2,27,13505.823469645009,1963.6363636363637,30213.522165533792,17768.127143351416,5.362149907673362e-09,4.100999999999999,5.453010610557984
C2,28,13578.550742372281,2036.3636363636365,30131.88381603281,17857.06307044918,5.365667988357961e-09,4.101000000000001,5.305213548555831
C2,29,13651.278015099555,2109.0909090909095,30052.43862644581,17943.60400855936,5.369134952263074e-09,4.101,5.1629271754753825
C2,30,13724.005287826827,2181.818181818182,29975.105948768116,18027.838287327453,5.372552595892394e-09,4.101,5.0258594782996235
C2,31,13796.732560554101,2254.545454545455,29899.809354889556,18109.849601960075,5.375922625944543e-09,4.101000000000001,4.893738035895504
C2,32,13869.459833281373,2327.2727272727275,29826.476356182455,18189.71732182571,5.3792466652187714e-09,4.100999999999999,4.766308497203199
C2,33,13942.187106008645,2400.0,29755.038144697806,18267.516775233144,5.382526258056496e-09,4.101000000000001,4.643333190851595
C2,34,14014.914378735917,2472.727272727273,29685.429354114724,18343.319512437938,5.3857628753605245e-09,4.101,4.524589853998647
C2,35,14087.641651463191,2545.4545454545455,29617.58783875906,18417.193548731655,5.38895791922958e-09,4.101,4.4098704693531845
C2,36,14160.368924190463,2618.1818181818185,29551.454469166227,18489.20358930182,5.392112727241983e-09,4.101,4.298980200413477
