,,Time,Cell1 Cathode vConcentration,Cell1 Cathode vPhi,Cell1 Anode vConcentration,Cell1 Anode vPhi,Cell1 Anode vSEI Length
C28,26,1890.909090909091,40925.344482074506,4.0297350647389845,6156.15996604181,0.04416645508280058,5.312853588644048e-09
C28,27,1963.6363636363637,40716.49693791787,4.0318145334484825,6382.873127219246,0.04256384625384,5.313315563501265e-09
C28,28,2036.3636363636365,40507.64939376129,4.033932945740686,6609.5858734340245,0.041175473655228986,5.313791060653699e-09
C28,29,2109.0909090909095,40298.80184960477,4.0360914611632825,6836.298250941015,0.03997428347972224,5.314278584068404e-09
C28,30,2181.818181818182,40089.954305448235,4.038291160348757,7063.010302548227,0.0389359869223682,5.3147767459284275e-09
C28,31,2254.545454545455,39881.10676129174,4.040533049776363,7289.7220671420455,0.03803884825215684,5.315284282740043e-09
C28,32,2327.2727272727275,39672.259217135055,4.0428180680852925,7516.4335796155465,0.0372634353073485,5.315800058344115e-09
C28,33,2400.0,39463.411672978415,4.045147091418896,7743.144870908068,0.03659239821963517,5.3163230632119064e-09
C28,34,2472.727272727273,39254.56412882197,4.047520938275356,7969.855988224561,0.03601026589859743,5.316851767249611e-09
C28,35,2545.4545454545455,39045.71658466535,4.049940361968703,8196.566915926402,0.03550324278460713,5.317386655178582e-09
C28,36,2618.1818181818185,38836.86904050886,4.052406114499459,8423.277708835196,0.03505912334769874,5.3179259520327455e-09
C28,37,2690.909090909091,38628.02149635248,4.05491883066595,8649.988366739655,0.034666967777281225,5.3184696515677836e-09
C28,38,2763.636363636364,38419.17395219595,4.057479149817794,8876.698903683693,0.034317150433298145,5.319017288196527e-09
C28,39,2836.3636363636365,38210.326408039284,4.060087380145234,9103.409316450214,0.03400087967400532,5.31956895141598e-09
C28,40,2909.0909090909095,38001.47886395765,4.062744929547454,9330.119636819314,0.03371114742377136,5.320123609943209e-09
C28,41,2981.818181818182,37792.63131983189,4.065451463131017,9556.829870040285,0.033440725476413656,5.320681088050726e-09
C28,42,3054.545454545455,37583.78377567524,4.068207675129419,9783.540002471917,0.0331838447267638,5.321241810404356e-09
C28,43,3127.2727272727275,37374.93623151834,4.071014236837149,10010.25004939119,0.03293535319063067,5.321805278576586e-09
