Cycle,Protocol,Stamps,Time,Global Time,Pack Voltage,Pack Current,String 1 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 2,1 Cathode Concentration","Cell 2,1 Anode Concentration","Cell 2,1 Anode SEI Length","Cell 2,1 Voltage"
9,CC-discharge,32,2327.2727272727275,81601.81807754937,6.304741377976265,-27.263836618115,-27.263836618115,46050.35137312586,1234.689801393875,5.2478406091668235e-09,3.135968618695294,45441.3547278722,1383.7449035438772,5.249169636465799e-09,3.168772759280971
9,CC-discharge,33,2400.0,81674.54535027665,6.130032279022075,-27.263836618115,-27.263836618115,46475.22045151355,786.5424542485339,5.247840611097827e-09,3.0395485954008192,45853.46073516303,938.7245281376265,5.249169636120225e-09,3.090483683621256
9,CC-discharge,34,2472.727272727273,81747.27262300393,5.487402330218692,-27.263836618115,-27.263836618115,46900.089529901226,338.39510710318336,5.247840609902743e-09,2.597595869132693,46265.566742453826,493.7041527313805,5.249169635595216e-09,2.889806461085999
9,CC-discharge,35,2485.7781178386085,81760.32346811525,5.000009999999975,-27.263836618115,-27.263836618115,46976.33191225245,257.97545990174797,5.247840609694781e-09,2.2152867751264553,46339.51880292468,413.8456378576684,5.249169635589972e-09,2.7847232248735194
9,CC-charge,0,0.0,81760.32346811525,6.544171285759164,27.263836618115,27.263836618115,46976.33191225245,257.97545990174797,5.247840609694781e-09,3.014854702262214,46339.51880292468,413.8456378576684,5.249169635589972e-09,3.52931658349695
9,CC-charge,1,72.72727272727273,81833.05074084253,7.537713961791161,27.263836618115004,27.263836618115004,46405.32990458135,784.2027583351493,5.24784253355392e-09,3.7526311312298875,45785.669700915576,936.4010482469444,5.249174291510415e-09,3.785082830561273
9,CC-charge,2,145.45454545454547,81905.7780135698,7.6629004293584,27.263836618115,27.263836618115,45978.54711945678,1232.3766231115821,5.247855979060128e-09,3.8222017442793885,45371.707474655865,1381.4475610745508,5.2491934030607014e-09,3.8406986850790115
9,CC-charge,3,218.1818181818182,81978.50528629708,7.748803092333439,27.263836618115,27.263836618115,45553.625685974665,1680.5227946665143,5.247890333572092e-09,3.8670650245309828,44959.55068501818,1826.4664445476503,5.249237086227333e-09,3.8817380678024564
9,CC-charge,4,290.90909090909093,82051.23255902434,7.8195257148310535,27.263836618115,27.263836618115,45128.75569293633,2128.667734629949,5.2479598867923754e-09,3.9036764353727524,44547.44379055271,2271.483926245507,5.249321206380633e-09,3.9158492794583006
9,CC-charge,5,363.6363636363637,82123.95983175162,7.878740410400837,27.263836618115,27.263836618115,44703.886605258456,2576.810880246019,5.248083258128205e-09,3.9343013950798174,44135.33777425011,2716.499436540672,5.249464811238489e-09,3.9444390153210205
9,CC-charge,6,436.3636363636364,82196.68710447889,7.928108020207179,27.263836618115,27.263836618115,44279.01752689371,3024.9515877815857,5.248281064960487e-09,3.959824816040334,43723.23176698153,3161.512363846848,5.249687716542084e-09,3.9682832041668448
9,CC-charge,7,509.0909090909091,82269.41437720617,7.969109672454289,27.263836618115,27.263836618115,43854.148448506276,3473.089332130265,5.248570837711568e-09,3.981005556872518,43311.12575969087,3606.5222468975066,5.2500055645985e-09,3.9881041155817707
9,CC-charge,8,574.4607865408097,82334.78425465606,7.99999,27.263836618115,27.263836618115,43472.260904192575,3875.888786984538,5.248919442935658e-09,3.996936404902444,42940.71012078762,4006.510262780182,5.250379933518329e-09,4.0030535950975565
9,CV-charge,0,0.0,82334.78425465606,8.0,27.311488120943363,27.311488120943363,43472.260904192575,3875.888786984538,5.248919442935658e-09,3.996936894496876,42940.71012078762,4006.510262780182,5.250379933518329e-09,4.003063105503124
9,CV-charge,1,72.72727272727273,82407.51152738334,8.0,23.369392759118302,23.369392759118302,42957.15299956598,4352.288739620679,5.249376187509468e-09,3.9973919508915094,42441.07606244408,4479.58509872234,5.250861315086071e-09,4.00260804910849
9,CV-charge,2,145.45454545454547,82480.2388001106,7.999999999999999,21.241457921431966,21.241457921431966,42620.79918605962,4711.740176784906,5.249859137876762e-09,3.997655425028131,42114.826320648404,4836.527743394479,5.251364042304496e-09,4.002344574971868
9,CV-charge,3,218.1818181818182,82552.96607283788,8.0,19.656982651004316,19.656982651004316,42311.68107689651,5042.632118737392,5.2503598604816965e-09,3.997850387203205,41814.99412238202,5165.110285956996,5.251880540627439e-09,4.002149612796795
9,CV-charge,4,290.90909090909093,82625.69334556515,8.0,18.41951320404584,18.41951320404584,42022.36844538133,5351.550279021939,5.250872088772253e-09,3.9979974516341703,41534.37244502915,5471.8724683938635,5.25240521853609e-09,4.002002548365829
9,CV-charge,5,363.6363636363637,82698.42061829242,8.0,17.418016832177948,17.418016832177948,41749.02989879954,5642.872715279013,5.25139111062791e-09,3.9981098144742466,41269.24499094905,5761.161783530072,5.252933944735024e-09,4.001890185525753
9,CV-charge,6,436.3636363636364,82771.14789101969,8.0,16.584017184600576,16.584017184600576,41488.96660715406,5919.668338317765,5.2519133438596424e-09,3.998196367201073,41016.99400302171,6036.025714591723,5.253463626602321e-09,4.001803632798927
9,CV-charge,7,509.0909090909091,82843.87516374697,8.0,15.872982451660755,15.872982451660755,41240.1948618539,6184.172691312002,5.252436038665033e-09,3.9982633348335854,40775.69536328158,6298.6841943250865,5.253991923340377e-09,4.001736665166415
9,CV-charge,8,581.8181818181819,82916.60243647423,8.0,15.254719760658281,15.254719760658281,41001.22531905749,6438.052221400777,5.252957088434985e-09,3.9983152143146943,40543.90446779061,6550.792032378411,5.254517065828433e-09,4.001684785685305
9,CV-charge,9,654.5454545454546,82989.32970920151,8.000000000000002,14.708058916496839,14.708058916496839,40770.908910444625,6682.585507887676,5.25347487058686e-09,3.998355335875017,40320.50676625118,6793.618878606241,5.2550377104220325e-09,4.001644664124985
9,CV-charge,10,727.2727272727274,83062.05698192878,7.999999999999999,14.217733530462091,14.217733530462091,40548.34052940085,6918.774932920603,5.253988136534968e-09,3.998386217768597,40104.624341460025,7028.160114274668,5.255552839079365e-09,4.001613782231402
9,CV-charge,11,800.0000000000001,83134.78425465606,7.999999999999998,13.772504889016622,13.772504889016622,40332.79758095935,7147.4175268878,5.2544959352703696e-09,3.9984097936398437,39895.556305209655,7255.207202916559,5.2560616904360326e-09,4.001590206360155
9,CV-charge,12,872.7272727272727,83207.51152738334,8.000000000000002,13.364233408933341,13.364233408933341,40123.85361757801,7368.9879767837265,5.254997390615998e-09,3.9984275585587006,39692.88902044682,7475.231515314944,5.256563529143633e-09,4.001572441441301
9,CV-charge,13,945.4545454545455,83280.2388001106,8.0,12.98614441370364,12.98614441370364,39920.86503142134,7584.1864834623275,5.255492106572847e-09,3.9984407175517296,39495.99821332114,7688.9283622958765,5.257058104983469e-09,4.00155928244827
9,CV-charge,14,1018.1818181818182,83352.96607283788,8.0,12.632977220335475,12.632977220335475,39723.26564460522,7793.626267789313,5.255979917695367e-09,3.9984502198315455,39304.334713936885,7896.906682428447,5.257545369436274e-09,4.001549780168455
9,CV-charge,15,1090.909090909091,83425.69334556515,8.0,12.301153784150456,12.301153784150456,39530.88244747014,7997.500260580682,5.256460363604749e-09,3.9984568088800154,39117.730709846815,8099.3580582453915,5.258024935230429e-09,4.001543191119985
9,CV-charge,16,1163.6363636363637,83498.42061829242,7.999999999999998,11.987591757576338,11.987591757576338,39343.42505212509,8196.124407145853,5.256933272975937e-09,3.9984610947804327,38935.90453641495,8296.596228406079,5.258496702516887e-09,4.001538905219566
9,CV-charge,17,1236.3636363636365,83571.14789101969,8.0,11.689838951175032,11.689838951175032,39160.64272785972,8389.770630629548,5.2573985489960815e-09,3.9984635700499584,38758.61299488361,8488.891216943242,5.258960633168577e-09,4.0015364299500416
9,CV-charge,18,1309.0909090909092,83643.87516374697,7.999999999999998,11.405920552744062,11.405920552744062,38982.3162244461,8578.67617224494,5.257856155708583e-09,3.998464635441191,38585.6434213038,8676.478608258338,5.259416739391542e-09,4.001535364558808
9,CV-charge,19,1381.818181818182,83716.60243647423,8.0,11.134237757736308,11.134237757736308,38808.25183004205,8763.050188184425,5.258306105474764e-09,3.998464616863232,38416.80792293906,8859.566097949799,5.25986507300532e-09,4.001535383136768
9,CV-charge,20,1454.5454545454547,83789.32970920151,8.0,10.87348565571314,10.87348565571314,38638.276352633795,8943.079290753261,5.258748449862145e-09,3.9984637797999243,38251.938510465196,9038.338995239867,5.260305717821235e-09,4.001536220200077
9,CV-charge,21,1527.2727272727275,83862.05698192878,8.0,10.622592922104824,10.622592922104824,38472.234301896104,9118.930717422554,5.259183269184701e-09,3.9984623405033717,38090.884364488105,9212.963369876734,5.260738780545865e-09,4.001537659496629
