Cycle,Protocol,Stamps,Time (s),Global Time (s),Pack Voltage,Pack Current,String 1 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage"
36,CV-charge,64,4654.545454545455,345692.7287494585,4.0,4.354127633465152,4.354127633465152,33611.51466334899,13791.203475623968,6.08670802666149e-09,4.0
36,CV-charge,65,4727.272727272728,345765.45602218574,4.000000000000001,4.276644845152617,4.276644845152617,33545.8035129707,13862.751329684565,6.086940864948956e-09,4.000000000000001
36,CV-charge,66,4800.0,345838.18329491303,4.0,4.200816569137695,4.200816569137695,33481.25814744275,13933.028994991022,6.087171457555584e-09,4.0
36,CV-charge,67,4872.727272727273,345910.9105676403,4.0,4.126597657212877,4.126597657212877,33417.85380008443,14002.063484360355,6.08739985954967e-09,4.0
36,CV-charge,68,4945.454545454546,345983.63784036756,4.000000000000001,4.053944380390212,4.053944380390212,33355.56637764098,14069.881075576355,6.087626124297531e-09,4.000000000000001
36,CV-charge,69,5018.181818181819,346056.36511309486,3.9999999999999996,3.9828143870511323,3.9828143870511323,33294.37243907921,14136.507334526668,6.08785030352501e-09,3.9999999999999996
36,CV-charge,70,5090.909090909091,346129.09238582215,4.0,3.9131666619819288,3.9131666619819288,33234.24917501124,14201.967137652635,6.0880724473767576e-09,4.0
36,CV-charge,71,5163.636363636364,346201.8196585494,3.9999999999999987,3.8449614862659525,3.8449614862659525,33175.17438773672,14266.284693727928,6.088292604473364e-09,3.9999999999999987
36,CV-charge,72,5236.363636363637,346274.5469312767,4.0,3.7781603980111904,3.7781603980111904,33117.126471886826,14329.483564980166,6.088510821966377e-09,4.0
36,CV-charge,73,5309.09090909091,346347.2742040039,4.0,3.7127261539055083,3.7127261539055083,33060.08439566105,14391.586687566656,6.088727145591265e-09,4.0
36,CV-charge,74,5381.818181818182,346420.0014767312,3.9999999999999996,3.6486226915921334,3.6486226915921334,33004.02768264146,14452.616391422855,6.088941619718379e-09,3.9999999999999996
36,CV-charge,75,5454.545454545455,346492.7287494585,4.0,3.5858150928658135,3.5858150928658135,32948.936394173026,14512.594419491223,6.089154287401993e-09,4.0
36,CV-charge,76,5527.272727272728,346565.45602218574,4.000000000000001,3.524269547691537,3.524269547691537,32894.791112297935,14571.541946349118,6.089365190427455e-09,4.000000000000001
36,CV-charge,77,5600.000000000001,346638.18329491303,3.9999999999999996,3.463953319046247,3.463953319046247,32841.5729232281,14629.479596246769,6.089574369356536e-09,3.9999999999999996
36,CV-charge,78,5672.727272727273,346710.9105676403,3.9999999999999996,3.4048347085921735,3.4048347085921735,32789.26340135058,14686.427460569728,6.089781863571024e-09,3.9999999999999996
